intensidad_media,mediana,desviacion_std,varianza,asimetria,curtosis,p10,p90,rango,homogeneidad,energia,contraste,correlacion,entropia,lbp_entropia,lbp_energia,area,circularidad,compacidad,solidez,excentricidad,extension,Clase
0.481785,0.5137255,0.1869674,0.03495682,-0.7295782,3.40349,0.2078431,0.682353,0.4745098,0.9603297,0.2427055,0.1223911,0.9627065,7.390207,2.773892,0.1765875,132727,0.7487572,1.335546,0.929168,0.8551574,0.7484113,2
0.2496088,0.2235294,0.1196707,0.01432109,1.602996,6.896451,0.1294118,0.4,0.2705882,0.9630989,0.2880623,0.1084261,0.9796317,6.726787,2.752532,0.1765388,182814,0.8354155,1.197009,0.9829185,0.8436058,0.7393325,1
0.06722439,0.02745098,0.1061443,0.01126661,2.928232,11.8817,0.003921569,0.1529412,0.1490196,0.9907001,0.4732611,0.08907399,0.987673,5.235592,2.537116,0.2304985,67248,0.7769798,1.287035,0.9660681,0.8111979,0.6366554,2
0.1668932,0.1490196,0.06405713,0.004103315,2.475854,15.10897,0.1098039,0.2509804,0.1411765,0.9842688,0.4408053,0.1050746,0.9850243,5.613128,2.870024,0.1557233,71852,0.8375706,1.193929,0.9516569,0.7865616,0.6489816,2
0.19519,0.1859504,0.1018016,0.01036356,0.5413501,3.037738,0.0661157,0.3305785,0.2644628,0.9518713,0.3157513,0.3944214,0.9361939,6.554224,2.744615,0.1794743,6136,0.847462,1.179994,0.9602504,0.7752786,0.6869682,1
0.3260605,0.3201581,0.1052619,0.01108007,1.588233,8.797995,0.2055336,0.4347826,0.229249,0.9460135,0.3687578,0.3974445,0.9000984,6.50748,2.902357,0.1564681,5449,0.7799755,1.282092,0.9770486,0.8945763,0.7631653,1
0.2366916,0.2235294,0.1226253,0.01503697,1.409822,7.234305,0.09019608,0.3764706,0.2862745,0.9653623,0.307276,0.1643151,0.974595,6.797892,2.774545,0.1777822,23027,0.7623975,1.311652,0.9288826,0.8702797,0.5904359,1
0.1817058,0.1501976,0.1250772,0.01564431,1.263648,4.674701,0.05533597,0.3596838,0.3043478,0.9759567,0.3656072,0.1353969,0.9779738,6.720296,2.793878,0.1705903,31668,0.7687982,1.300731,0.9598399,0.878684,0.7030303,2
0.2785541,0.2901961,0.1414871,0.02001861,0.07109095,3.124861,0.05490196,0.4470588,0.3921569,0.9642778,0.2917634,0.1224738,0.9735845,7.061926,2.644311,0.195509,62494,0.9442958,1.05899,0.9860675,0.465107,0.7482519,2
0.2646685,0.2627451,0.1101099,0.01212419,0.8026007,4.501517,0.1294118,0.3882353,0.2588235,0.9815739,0.3116357,0.0809077,0.9827062,6.731275,2.80719,0.1670189,98149,0.9137964,1.094336,0.9758302,0.3060458,0.7642099,2
0.3000901,0.282353,0.1300055,0.01690144,1.06993,4.934473,0.1568628,0.4705882,0.3137255,0.9461951,0.2619199,0.2226287,0.9533401,6.937,2.693887,0.1920323,13597,0.8838037,1.131473,0.9878669,0.8124501,0.7337039,1
0.1090181,0.08467742,0.08801266,0.007746228,3.196664,16.55265,0.04435484,0.1814516,0.1370968,0.9850662,0.5347782,0.1444156,0.9759627,5.732577,2.79291,0.168779,34258,0.9015412,1.109212,0.9870915,0.7846305,0.7450631,2
